Category,Resume
Agriculture,"Education: Agriculture Program Experience: 3 years Skills: Leadership, Dairy Operations, React, Problem Solving, Animal Health, Quality Control, Equipment, Agile Agriculture Program Leadership|Dairy Operations|React|Problem Solving|Animal Health|Quality Control|Equipment|Agile Dairy Manager"
Human Resources,"Education: Bachelor's in Business Experience: 2 years Skills: Problem Solving, Process Management, Data Analysis, Tableau, Compliance, HR Systems, Leadership, Flask Bachelor's in Business Problem Solving|Process Management|Data Analysis|Tableau|Compliance|HR Systems|Leadership|Flask HR Operations Manager"
Administration,"Education: Bachelor's in Business Experience: 3 years Skills: Discretion, Problem Solving, Leadership Support, Communication, Executive Support, Organization, Adobe Creative Suite, Market Research Bachelor's in Business Discretion|Problem Solving|Leadership Support|Communication|Executive Support|Organization|Adobe Creative Suite|Market Research Executive Assistant"
Legal Services,"Education: Bachelor's in Paralegal Studies Experience: 0 years Skills: Legal Knowledge, Attention to Detail, Legal Research, Adaptability, Organization, Communication, Document Preparation, User Interface Bachelor's in Paralegal Studies Legal Knowledge|Attention to Detail|Legal Research|Adaptability|Organization|Communication|Document Preparation|User Interface Paralegal"
Sports & Recreation,"Education: Coaching Certification Experience: 4 years Skills: Market Research, C++, Athletic Knowledge, AWS, Leadership, Prototyping, Coaching, Motivation Coaching Certification Market Research|C++|Athletic Knowledge|AWS|Leadership|Prototyping|Coaching|Motivation|Communication|Go|Training Program Design Coach"
Technology,"Education: Bachelor's in Computer Science Experience: 5 years Skills: Kibana, Analytics, Search Technology, Elasticsearch, Query DSL, Agile, Confluence, Performance Bachelor's in Computer Science Kibana|Analytics|Search Technology|Elasticsearch|Query DSL|Agile|Confluence|Performance Elasticsearch Developer"
Entertainment & Media,"Education: Associate in Audio Engineering Experience: 0 years Skills: Audio Engineering, GCP, Node.js, Technical Skills, Presentation Skills, User Interface, Precision, Mentoring Associate in Audio Engineering Audio Engineering|GCP|Node.js|Technical Skills|Presentation Skills|User Interface|Precision|Mentoring|Equipment Knowledge|Problem Solving|Sound Design Sound Engineer"
Technology,"Education: Bachelor's in Computer Science Experience: 1 years Skills: REST API, Java, XML, P&L Management, Android SDK, Encryption, Mobile Design, Kotlin Bachelor's in Computer Science REST API|Java|XML|P&L Management|Android SDK|Encryption|Mobile Design|Kotlin Mobile Developer Android"
Technology,"Education: Master's in Computer Science Experience: 3 years Skills: TensorFlow, Prototyping, Research, Power BI, Deep Learning, PyTorch, Python, Statistics Master's in Computer Science TensorFlow|Prototyping|Research|Power BI|Deep Learning|PyTorch|Python|Statistics Machine Learning Engineer"
Technology,"Education: Bachelor's in Computer Science Experience: 3 years Skills: Problem Solving, Performance, Decision Making, Network Security, C++, Responsive Design, Ruby, Memory Management Bachelor's in Computer Science Problem Solving|Performance|Decision Making|Network Security|C++|Responsive Design|Ruby|Memory Management|System Programming|Microservices|Debugging C++ Developer"
Law Enforcement,"Education: Bachelor's Degree Experience: 6 years Skills: Discipline, Django, Communication, Problem Solving, Leadership, Power BI, Strategic Planning, Mentoring Bachelor's Degree Discipline|Django|Communication|Problem Solving|Leadership|Power BI|Strategic Planning|Mentoring|Safety|Compliance Military Officer"
Healthcare,"Education: Master's or PhD in Psychology Experience: 4 years Skills: Docker, Critical Thinking, Swift, Counseling, Patient Communication, Psychological Assessment, Empathy, Research Master's or PhD in Psychology Docker|Critical Thinking|Swift|Counseling|Patient Communication|Psychological Assessment|Empathy|Research|Risk Assessment Psychologist"
Technology,"Education: Oracle Certification Experience: 2 years Skills: Database Administration, Prototyping, Security, SQL, Performance Tuning, Backup Recovery, Oracle Database, Azure Oracle Certification Database Administration|Prototyping|Security|SQL|Performance Tuning|Backup Recovery|Oracle Database|Azure Oracle DBA"
Technology,"Education: Master's in Computer Science Experience: 6 years Skills: Azure, Business Development, Vision, Web Accessibility, Strategic Design, Communication, User Interface, Leadership Master's in Computer Science Azure|Business Development|Vision|Web Accessibility|Strategic Design|Communication|User Interface|Leadership|Enterprise Architecture|Jupyter|Technical Expertise Enterprise Architect"
Construction & Real Estate,"Education: Bachelor's in Project Management Experience: 5 years Skills: Team Leadership, Timeline Management, Flask, Budget Control, Communication, Project Management, Risk Management, Problem Solving Bachelor's in Project Management Team Leadership|Timeline Management|Flask|Budget Control|Communication|Project Management|Risk Management|Problem Solving|TypeScript Project Manager"
Energy & Utilities,"Education: Safety Certification Experience: 2 years Skills: Leadership, Safety Management, Critical Thinking, Regulatory Knowledge, Problem Solving, Risk Assessment, Communication, Confluence Safety Certification Leadership|Safety Management|Critical Thinking|Regulatory Knowledge|Problem Solving|Risk Assessment|Communication|Confluence|Creativity Safety Engineer"
Technology,"Education: Security Certification Experience: 5 years Skills: Market Research, Compliance, Security Architecture, Networking, Security Protocols, Angular, Encryption, Kotlin Security Certification Market Research|Compliance|Security Architecture|Networking|Security Protocols|Angular|Encryption|Kotlin|Risk Management|Linux Security Engineer"
Technology,"Education: Bachelor's in Computer Science Experience: 2 years Skills: Functional Programming, Shell Scripting, Jenkins, SQL, HTML, Scala, Problem Solving, Apache Spark Bachelor's in Computer Science Functional Programming|Shell Scripting|Jenkins|SQL|HTML|Scala|Problem Solving|Apache Spark|Big Data Scala Developer"
Construction & Real Estate,"Education: Bachelor's in Construction Management Experience: 4 years Skills: Sales, Budget Control, Safety, Project Management, Construction Knowledge, Compliance, Contractor Management, Jira Bachelor's in Construction Management Sales|Budget Control|Safety|Project Management|Construction Knowledge|Compliance|Contractor Management|Jira|Scala|React Native|CloudFormation Construction Manager"
Legal Services,"Education: Legal Secretary Certification Experience: 1 years Skills: Organization, Administrative Skills, Attention to Detail, Typing, Legal Knowledge, Communication, Docker, C++ Legal Secretary Certification Organization|Administrative Skills|Attention to Detail|Typing|Legal Knowledge|Communication|Docker|C++|Flutter|REST API Legal Secretary"
Media & Entertainment,"Education: High School Experience: 4 years Skills: Professionalism, Communication, Voice Skills, Pronunciation, Scikit-learn, Pandas, Public Speaking, Data Analysis High School Professionalism|Communication|Voice Skills|Pronunciation|Scikit-learn|Pandas|Public Speaking|Data Analysis|Quick Thinking Announcer"
Sports & Recreation,"Education: Bachelor's in Sports Management Experience: 5 years Skills: Problem Solving, Shell Scripting, Leadership, Node.js, Agile, Jenkins, React Native, Communication Bachelor's in Sports Management Problem Solving|Shell Scripting|Leadership|Node.js|Agile|Jenkins|React Native|Communication|Sports Management|Financial Management|Marketing Sports Manager"
Human Resources,"Education: Bachelor's in HR Experience: 6 years Skills: Redis, Data Analysis, Flutter, Strategic HR, Business Acumen, Time Management, Employee Relations, Coaching Bachelor's in HR Redis|Data Analysis|Flutter|Strategic HR|Business Acumen|Time Management|Employee Relations|Coaching|Shell Scripting|Leadership HR Business Partner"
Beauty & Wellness,"Education: License Experience: 2 years Skills: Financial Analysis, GCP, Customer Service, Swift, Technical Skills, Product Knowledge, Penetration Testing, Skincare License Financial Analysis|GCP|Customer Service|Swift|Technical Skills|Product Knowledge|Penetration Testing|Skincare|Facial Treatment|Firewalls|Communication Esthetician"
Conservation,"Education: Bachelor's in Environmental Science Experience: 4 years Skills: Safety, Communication, Law Enforcement, Environmental Knowledge, Encryption, Problem Solving, Conservation, Time Management Bachelor's in Environmental Science Safety|Communication|Law Enforcement|Environmental Knowledge|Encryption|Problem Solving|Conservation|Time Management Conservation Officer"
Technology,"Education: Bachelor's in IT Experience: 2 years Skills: HTML/CSS, Server Administration, Website Management, Risk Assessment, R, Database Management, Market Research, Troubleshooting Bachelor's in IT HTML/CSS|Server Administration|Website Management|Risk Assessment|R|Database Management|Market Research|Troubleshooting|CMS Website Administrator"
Creative & Design,"Education: Design Certification Experience: 1 years Skills: Branding, TypeScript, Visual Communication, Figma, Adobe Creative Suite, Design Software, Creativity, Swift Design Certification Branding|TypeScript|Visual Communication|Figma|Adobe Creative Suite|Design Software|Creativity|Swift|Attention to Detail|Teamwork Graphic Designer"
Sports & Recreation,"Education: Bachelor's in Sports Management Experience: 4 years Skills: Marketing, Leadership, Agile, Communication, Sports Management, Problem Solving, Financial Management, Decision Making Bachelor's in Sports Management Marketing|Leadership|Agile|Communication|Sports Management|Problem Solving|Financial Management|Decision Making|User Experience Sports Manager"
Technology,"Education: High School Experience: 1 years Skills: Hardware, Troubleshooting, Software, Sales, Communication, MySQL, Customer Service, Technical Support High School Hardware|Troubleshooting|Software|Sales|Communication|MySQL|Customer Service|Technical Support|CSS|Web Accessibility IT Help Desk Technician"
Media & Entertainment,"Education: High School Experience: 0 years Skills: Quick Thinking, Pronunciation, NumPy, SQL, Business Development, Voice Skills, Professionalism, MongoDB High School Quick Thinking|Pronunciation|NumPy|SQL|Business Development|Voice Skills|Professionalism|MongoDB|Communication|Public Speaking Announcer"
Marketing & Sales,"Education: Bachelor's in Business Experience: 4 years Skills: Leadership, Market Analysis, Product Strategy, TensorFlow, Sales, Ansible, Communication, User Research Bachelor's in Business Leadership|Market Analysis|Product Strategy|TensorFlow|Sales|Ansible|Communication|User Research|Data Analysis Product Manager"
Healthcare,"Education: Doctor of Physical Therapy Experience: 2 years Skills: SEO, Agile, Patient Assessment, Anatomy Knowledge, Physical Therapy, Django, Exercise Prescription, Communication Doctor of Physical Therapy SEO|Agile|Patient Assessment|Anatomy Knowledge|Physical Therapy|Django|Exercise Prescription|Communication|Compassion|Prototyping|NumPy Physical Therapist"
Skilled Trades,"Education: HVAC Certification Experience: 5 years Skills: Equipment, HVAC Systems, C#, Technical Knowledge, Pandas, Strategic Planning, Project Management, Problem Solving HVAC Certification Equipment|HVAC Systems|C#|Technical Knowledge|Pandas|Strategic Planning|Project Management|Problem Solving|Safety|Troubleshooting HVAC Technician"
Agriculture & Food,"Education: Master's in Food Science Experience: 1 years Skills: Problem Solving, Jenkins, Database Design, Quality Control, Technical Knowledge, Food Science, Technical Writing, Business Development Master's in Food Science Problem Solving|Jenkins|Database Design|Quality Control|Technical Knowledge|Food Science|Technical Writing|Business Development|Testing|Research|PHP Food Scientist"
Healthcare,"Education: Certification Experience: 2 years Skills: Lab Testing, Ansible, Quality Control, Strategic Planning, MongoDB, Attention to Detail, Accuracy, Equipment Operation Certification Lab Testing|Ansible|Quality Control|Strategic Planning|MongoDB|Attention to Detail|Accuracy|Equipment Operation|TypeScript|Analysis Medical Technologist"
Operations & Supply Chain,"Education: Bachelor's in Engineering Experience: 6 years Skills: Change Management, C++, Oracle, Marketing, Jenkins, Flask, Lean Manufacturing, Leadership Bachelor's in Engineering Change Management|C++|Oracle|Marketing|Jenkins|Flask|Lean Manufacturing|Leadership|Data Analysis|Six Sigma|Process Analysis Process Improvement Manager"
Human Resources,"Education: Master's in Business Experience: 6 years Skills: Leadership, Redis, Kotlin, Data Analysis, SQL, Strategic HR, Business Acumen, Coaching Master's in Business Leadership|Redis|Kotlin|Data Analysis|SQL|Strategic HR|Business Acumen|Coaching|Employee Relations HR Business Partner"
Conservation,"Education: Bachelor's in Environmental Science Experience: 1 years Skills: Decision Making, Problem Solving, Conservation, Law Enforcement, Safety, Communication, App Testing, Environmental Knowledge Bachelor's in Environmental Science Decision Making|Problem Solving|Conservation|Law Enforcement|Safety|Communication|App Testing|Environmental Knowledge|TypeScript Conservation Officer"
Hospitality & Tourism,"Education: Bachelor's in Hospitality Management Experience: 6 years Skills: Staff Management, Hotel Management, Budget Control, Customer Service, Project Management, Leadership, Communication, Security Architecture Bachelor's in Hospitality Management Staff Management|Hotel Management|Budget Control|Customer Service|Project Management|Leadership|Communication|Security Architecture Hotel Manager"
Conservation,"Education: Bachelor's in Biology Experience: 1 years Skills: Wildlife Biology, Research, Data Analysis, Field Work, Kubernetes, Project Management, Problem Solving, CSS Bachelor's in Biology Wildlife Biology|Research|Data Analysis|Field Work|Kubernetes|Project Management|Problem Solving|CSS|User Experience|MongoDB|Communication Wildlife Biologist"
Skilled Trades,"Education: Trade School Experience: 4 years Skills: Leadership, Code Knowledge, Safety, Problem Solving, Technical Knowledge, Kotlin, Oracle, Troubleshooting Trade School Leadership|Code Knowledge|Safety|Problem Solving|Technical Knowledge|Kotlin|Oracle|Troubleshooting|Electrical Work Electrician"
Legal Services,"Education: Bar License Experience: 4 years Skills: Corporate Law, Communication, Data Analysis, Research, Strategic Thinking, Database Design, Contract Negotiation, Compliance Bar License Corporate Law|Communication|Data Analysis|Research|Strategic Thinking|Database Design|Contract Negotiation|Compliance|Market Research|Strategic Planning|Writing Corporate Lawyer"
Human Resources,"Education: Master's in Business Experience: 5 years Skills: Leadership, Employee Relations, Coaching, Business Acumen, Strategic HR, Go, Data Analysis, Ansible Master's in Business Leadership|Employee Relations|Coaching|Business Acumen|Strategic HR|Go|Data Analysis|Ansible HR Business Partner"
Data & Analytics,"Education: Data Science Certificate Experience: 0 years Skills: Python, Sales, Network Security, Scrum, Visualization, Encryption, TensorFlow, Documentation Data Science Certificate Python|Sales|Network Security|Scrum|Visualization|Encryption|TensorFlow|Documentation|Collaboration|Data Analysis|Jupyter Notebooks Jupyter Developer"
Technology,"Education: Bachelor's in IT Experience: 4 years Skills: Reporting, Documentation, Analysis, JMeter, Scrum, Load Testing, MongoDB, Performance Testing Bachelor's in IT Reporting|Documentation|Analysis|JMeter|Scrum|Load Testing|MongoDB|Performance Testing|Problem Solving Performance Tester"
Healthcare,"Education: Medical Degree Experience: 5 years Skills: Research, Vue.js, Risk Assessment, Patient Care, Surgical Expertise, Terraform, Problem Solving, Precision Medical Degree Research|Vue.js|Risk Assessment|Patient Care|Surgical Expertise|Terraform|Problem Solving|Precision|Technical Skills Surgeon"
Technology,"Education: Bachelor's in Computer Science Experience: 2 years Skills: Prototyping, API Development, Microservices, Docker, Problem Solving, Flutter, Go, Python Bachelor's in Computer Science Prototyping|API Development|Microservices|Docker|Problem Solving|Flutter|Go|Python|Concurrency|REST API Go Developer"
Technology,"Education: Bachelor's in IT Experience: 4 years Skills: SEO, Performance Testing, Reporting, Problem Solving, Load Testing, Graphic Design, Machine Learning, Analysis Bachelor's in IT SEO|Performance Testing|Reporting|Problem Solving|Load Testing|Graphic Design|Machine Learning|Analysis|JMeter Performance Tester"
Data & Analytics,"Education: Bachelor's in IT Experience: 2 years Skills: Node.js, SQL, Data Visualization, Qlik View, Analytics, Dashboard Development, Django, Qlik Sense Bachelor's in IT Node.js|SQL|Data Visualization|Qlik View|Analytics|Dashboard Development|Django|Qlik Sense Qlik Developer"
Technology,"Education: Bachelor's in Computer Science Experience: 3 years Skills: System Administration, Text Processing, Business Development, Regular Expressions, Problem Solving, App Testing, Scripting, Perl Bachelor's in Computer Science System Administration|Text Processing|Business Development|Regular Expressions|Problem Solving|App Testing|Scripting|Perl Perl Developer"
Education & Training,"Education: Bachelor's in Education Experience: 3 years Skills: Adult Learning, Creativity, GraphQL, Assessment, E-Learning, Mobile UI/UX, Course Development, Technology Bachelor's in Education Adult Learning|Creativity|GraphQL|Assessment|E-Learning|Mobile UI/UX|Course Development|Technology Instructional Designer"
Marketing & Sales,"Education: Bachelor's in Business Experience: 6 years Skills: Target Setting, Communication, CRM, Creativity, Sales Strategy, Team Leadership, Negotiation, Azure Bachelor's in Business Target Setting|Communication|CRM|Creativity|Sales Strategy|Team Leadership|Negotiation|Azure|Jenkins Sales Manager"
Agriculture,"Education: Agriculture Experience Experience: 4 years Skills: Safety, Mobile Security, Equipment Operation, PyTorch, Farming, Business Management, Problem Solving, Sustainability Agriculture Experience Safety|Mobile Security|Equipment Operation|PyTorch|Farming|Business Management|Problem Solving|Sustainability|Firewalls|Data Analysis Farmer"
Technology,"Education: Bachelor's in IT Experience: 3 years Skills: Agile, Backup Recovery, SQL, Database Administration, Terraform, Security, Scikit-learn, Oracle Database Bachelor's in IT Agile|Backup Recovery|SQL|Database Administration|Terraform|Security|Scikit-learn|Oracle Database|Performance Tuning|User Experience Oracle DBA"
Construction & Real Estate,"Education: Bachelor's in Landscape Architecture Experience: 5 years Skills: Adobe Creative Suite, Firewalls, Design, Environmental Knowledge, TypeScript, Horticulture, Negotiation, Creativity Bachelor's in Landscape Architecture Adobe Creative Suite|Firewalls|Design|Environmental Knowledge|TypeScript|Horticulture|Negotiation|Creativity|AWS|CAD|Technical Skills Landscape Architect"
Transportation & Logistics,"Education: Training Experience: 5 years Skills: Presentation Skills, Navigation, GCP, Jira, Responsibility, Swift, Scikit-learn, Safety Training Presentation Skills|Navigation|GCP|Jira|Responsibility|Swift|Scikit-learn|Safety|Decision Making|Technical Knowledge|Flying Pilot"
Technology,"Education: Bachelor's in Computer Science Experience: 4 years Skills: C++, Debugging, Memory Management, Performance, Network Security, Technical Writing, Problem Solving, System Programming Bachelor's in Computer Science C++|Debugging|Memory Management|Performance|Network Security|Technical Writing|Problem Solving|System Programming C++ Developer"
Information Services,"Education: Master's in Archival Science Experience: 2 years Skills: Organization, Archives Management, Adobe Creative Suite, Creativity, Preservation, Research, CI/CD, Jenkins Master's in Archival Science Organization|Archives Management|Adobe Creative Suite|Creativity|Preservation|Research|CI/CD|Jenkins|Documentation|Prototyping|Problem Solving Archivist"
Data & Analytics,"Education: Data Warehouse Certification Experience: 5 years Skills: SQL, Jenkins, Encryption, Performance Tuning, Dimensional Modeling, ETL, Negotiation, Marketing Data Warehouse Certification SQL|Jenkins|Encryption|Performance Tuning|Dimensional Modeling|ETL|Negotiation|Marketing|Java|Strategic Planning|Data Warehouse Design Data Warehouse Architect"
Finance & Accounting,"Education: MBA Experience: 13 years Skills: Query Optimization, Flutter, Risk Management, Flask, Board Communication, M&A, Strategic Leadership, Investor Relations MBA Query Optimization|Flutter|Risk Management|Flask|Board Communication|M&A|Strategic Leadership|Investor Relations|Financial Strategy|React Native|Figma CFO"
Engineering & Manufacturing,"Education: Bachelor's in Engineering Experience: 3 years Skills: Documentation, Wireframing, C++, Problem Solving, Coordination, Machine Learning, Project Management, Technical Knowledge Bachelor's in Engineering Documentation|Wireframing|C++|Problem Solving|Coordination|Machine Learning|Project Management|Technical Knowledge|Communication Project Engineer"
Technology,"Education: Bachelor's in Cybersecurity Experience: 3 years Skills: Security Testing, Reporting, Flutter, Data Analysis, P&L Management, Android, Vulnerability Testing, Problem Solving Bachelor's in Cybersecurity Security Testing|Reporting|Flutter|Data Analysis|P&L Management|Android|Vulnerability Testing|Problem Solving|Documentation|Risk Assessment|Security Tools Security Tester"
Technology,"Education: IT Certification Experience: 1 years Skills: Documentation, TypeScript, Customer Service, REST API, Troubleshooting, Hardware Installation, Networking, Problem Solving IT Certification Documentation|TypeScript|Customer Service|REST API|Troubleshooting|Hardware Installation|Networking|Problem Solving|SQL IT Field Technician"
Operations & Supply Chain,"Education: Quality Certification Experience: 4 years Skills: Leadership, Process Improvement, CloudFormation, Quality Management, Problem Solving, Statistical Analysis, Encryption, Sales Quality Certification Leadership|Process Improvement|CloudFormation|Quality Management|Problem Solving|Statistical Analysis|Encryption|Sales|SQL|Compliance Quality Assurance Manager"
Media & Entertainment,"Education: Broadcasting Experience: 2 years Skills: Voice Skills, Ruby, Communication, Professionalism, Public Speaking, Scala, Pronunciation, Serverless Broadcasting Voice Skills|Ruby|Communication|Professionalism|Public Speaking|Scala|Pronunciation|Serverless|Quick Thinking Announcer"
Healthcare,"Education: Pharmacy License Experience: 1 years Skills: Pharmacy Knowledge, Python, Accuracy, Communication, Rust, Terraform, Attention to Detail, Patient Counseling Pharmacy License Pharmacy Knowledge|Python|Accuracy|Communication|Rust|Terraform|Attention to Detail|Patient Counseling|Drug Interactions Pharmacist"
Retail & Hospitality,"Education: Leadership Experience: 5 years Skills: Vue.js, Penetration Testing, Supervision, Business Development, Inventory, Customer Service, Problem Solving, Compliance Leadership Vue.js|Penetration Testing|Supervision|Business Development|Inventory|Customer Service|Problem Solving|Compliance|SQL|Sales|Staff Training Retail Supervisor"
Construction & Real Estate,"Education: Bachelor's in Project Management Experience: 3 years Skills: Risk Management, Team Leadership, Communication, Budget Control, Web Accessibility, Java, Redis, Web Design Bachelor's in Project Management Risk Management|Team Leadership|Communication|Budget Control|Web Accessibility|Java|Redis|Web Design|Project Management|Timeline Management Project Manager"
Finance & Accounting,"Education: Bachelor's in Accounting Experience: 1 years Skills: QuickBooks, Tax Knowledge, REST API, GAAP, Excel, Financial Analysis, Confluence, Power BI Bachelor's in Accounting QuickBooks|Tax Knowledge|REST API|GAAP|Excel|Financial Analysis|Confluence|Power BI|Market Research|Accounting Principles Accountant"
Technology,"Education: Bachelor's in Computer Science Experience: 0 years Skills: Leadership, JavaScript, App Testing, Liquid, Problem Solving, API Integration, Shopify, Swift Bachelor's in Computer Science Leadership|JavaScript|App Testing|Liquid|Problem Solving|API Integration|Shopify|Swift|E-commerce Shopify Developer"
Human Resources,"Education: Bachelor's in Business Experience: 3 years Skills: Compliance, Docker, Leadership, HR Systems, Data Analysis, PyTorch, Process Management, Problem Solving Bachelor's in Business Compliance|Docker|Leadership|HR Systems|Data Analysis|PyTorch|Process Management|Problem Solving HR Operations Manager"
Administration,"Education: Administrative Certification Experience: 2 years Skills: Communication, Market Research, Discretion, Problem Solving, Critical Thinking, Executive Support, Organization, Leadership Support Administrative Certification Communication|Market Research|Discretion|Problem Solving|Critical Thinking|Executive Support|Organization|Leadership Support Executive Assistant"
Data & Analytics,"Education: Bachelor's in Business Experience: 1 years Skills: Business Acumen, SQL, Reporting, Negotiation, Time Management, Microservices, Tableau, Power BI Bachelor's in Business Business Acumen|SQL|Reporting|Negotiation|Time Management|Microservices|Tableau|Power BI|Excel|Data Analysis BI Analyst"
Finance & Accounting,"Education: Bachelor's in Finance Experience: 4 years Skills: Business Development, Risk Analysis, Python, Statistics, Financial Modeling, Terraform, React Native, Excel Bachelor's in Finance Business Development|Risk Analysis|Python|Statistics|Financial Modeling|Terraform|React Native|Excel|Valuation|iOS Financial Analyst"
Healthcare,"Education: Bachelor's in Nursing Experience: 0 years Skills: Compassion, P&L Management, Attention to Detail, Patient Care, Decision Making, Critical Thinking, Medical Knowledge, GraphQL Bachelor's in Nursing Compassion|P&L Management|Attention to Detail|Patient Care|Decision Making|Critical Thinking|Medical Knowledge|GraphQL|Microservices|Communication Nurse"
Data & Analytics,"Education: Bachelor's in Computer Science Experience: 3 years Skills: Documentation, Perl, Collaboration, SEO, Jupyter Notebooks, Python, Visualization, Kotlin Bachelor's in Computer Science Documentation|Perl|Collaboration|SEO|Jupyter Notebooks|Python|Visualization|Kotlin|iOS|Data Analysis Jupyter Developer"
Sports & Recreation,"Education: Bachelor's in Physical Education Experience: 1 years Skills: Leadership, Training Program Design, Athletic Knowledge, Coaching, Communication, Web Accessibility, Perl, Motivation Bachelor's in Physical Education Leadership|Training Program Design|Athletic Knowledge|Coaching|Communication|Web Accessibility|Perl|Motivation Coach"
Technology,"Education: Bachelor's in Computer Science Experience: 4 years Skills: Joomla, Mobile UI/UX, Security Architecture, Go, Mentoring, MySQL, Theme Development, JavaScript Bachelor's in Computer Science Joomla|Mobile UI/UX|Security Architecture|Go|Mentoring|MySQL|Theme Development|JavaScript|CMS|PHP Joomla Developer"
Technology,"Education: Bachelor's in Computer Science Experience: 1 years Skills: Concurrency, Microservices, Problem Solving, Go, Jupyter, Docker, Adaptability, API Development Bachelor's in Computer Science Concurrency|Microservices|Problem Solving|Go|Jupyter|Docker|Adaptability|API Development Go Developer"
Engineering & Manufacturing,"Education: Bachelor's in Mechanical Engineering Experience: 4 years Skills: Problem Solving, Thermal Systems, Testing, Jupyter, Vehicle Systems, Mobile UI/UX, CI/CD, CAD Bachelor's in Mechanical Engineering Problem Solving|Thermal Systems|Testing|Jupyter|Vehicle Systems|Mobile UI/UX|CI/CD|CAD|Materials Automotive Engineer"
Law Enforcement,"Education: Police Academy Experience: 2 years Skills: Analysis, Investigation, Problem Solving, Judgment, Financial Analysis, Attention to Detail, HTML, Jenkins Police Academy Analysis|Investigation|Problem Solving|Judgment|Financial Analysis|Attention to Detail|HTML|Jenkins|Communication|Technical Writing Detective"
Research & Development,"Education: Master's in Science Experience: 6 years Skills: Microservices, Laboratory Management, Scientific Knowledge, Safety, Equipment Maintenance, Security Protocols, Leadership, Quality Control Master's in Science Microservices|Laboratory Management|Scientific Knowledge|Safety|Equipment Maintenance|Security Protocols|Leadership|Quality Control Laboratory Manager"
Technology,"Education: Bachelor's in Computer Science Experience: 2 years Skills: Jira, Financial Analysis, Ansible, HTML/CSS, Figma, Symfony, MySQL, Laravel Bachelor's in Computer Science Jira|Financial Analysis|Ansible|HTML/CSS|Figma|Symfony|MySQL|Laravel|PHP|API Development PHP Developer"
Healthcare,"Education: Radiography License Experience: 4 years Skills: Shell Scripting, Communication, Patient Care, Imaging Technology, Radiation Safety, SQL, Technical Skills, Security Protocols Radiography License Shell Scripting|Communication|Patient Care|Imaging Technology|Radiation Safety|SQL|Technical Skills|Security Protocols|Scrum|Django|Attention to Detail Radiographer"
Technology,"Education: Oracle Certification Experience: 3 years Skills: SQL, ERP Systems, PL/SQL, Configuration, Go, PHP, Oracle Apps, Problem Solving Oracle Certification SQL|ERP Systems|PL/SQL|Configuration|Go|PHP|Oracle Apps|Problem Solving|Angular Oracle Applications Developer"
Environmental,"Education: Bachelor's in Environmental Science Experience: 3 years Skills: Business Acumen, Problem Solving, Sustainability Strategy, Angular, Penetration Testing, Communication, Analysis, Environmental Knowledge Bachelor's in Environmental Science Business Acumen|Problem Solving|Sustainability Strategy|Angular|Penetration Testing|Communication|Analysis|Environmental Knowledge Sustainability Consultant"
Legal Services,"Education: Corporate Law Specialization Experience: 6 years Skills: Contract Negotiation, Strategic Thinking, Writing, Node.js, PyTorch, Corporate Law, Research, Communication Corporate Law Specialization Contract Negotiation|Strategic Thinking|Writing|Node.js|PyTorch|Corporate Law|Research|Communication Corporate Lawyer"
Conservation,"Education: Bachelor's in Environmental Science Experience: 2 years Skills: Outdoor Skills, Budget Management, Agile, Environmental Knowledge, Communication, Conservation, Serverless, Problem Solving Bachelor's in Environmental Science Outdoor Skills|Budget Management|Agile|Environmental Knowledge|Communication|Conservation|Serverless|Problem Solving|Public Safety Park Ranger"
Technology,"Education: IT Certification Experience: 5 years Skills: Linux, Scripting, CI/CD, AWS, Kubernetes, Jira, Docker, TypeScript IT Certification Linux|Scripting|CI/CD|AWS|Kubernetes|Jira|Docker|TypeScript DevOps Engineer"
Skilled Trades,"Education: Trade School Experience: 5 years Skills: Market Research, Problem Solving, Safety, Electrical Work, Angular, SQL, Data Analysis, Troubleshooting Trade School Market Research|Problem Solving|Safety|Electrical Work|Angular|SQL|Data Analysis|Troubleshooting|Code Knowledge|Technical Knowledge|Adobe Creative Suite Electrician"
Technology,"Education: Bachelor's in IT Experience: 1 years Skills: Performance Testing, Load Testing, Reporting, Analysis, Strategic Planning, Problem Solving, Flask, JMeter Bachelor's in IT Performance Testing|Load Testing|Reporting|Analysis|Strategic Planning|Problem Solving|Flask|JMeter Performance Tester"
Data & Analytics,"Education: Bachelor's in Statistics Experience: 3 years Skills: Problem Solving, R, Statistical Analysis, GCP, Tableau, tidyverse, Market Research, ggplot2 Bachelor's in Statistics Problem Solving|R|Statistical Analysis|GCP|Tableau|tidyverse|Market Research|ggplot2|Communication|Budget Management|Data Visualization R Programmer"
Technology,"Education: Bachelor's in Computer Science Experience: 1 years Skills: Problem Solving, Scrum, Ruby on Rails, Time Management, SQL, Ruby, API Development, HTML/CSS Bachelor's in Computer Science Problem Solving|Scrum|Ruby on Rails|Time Management|SQL|Ruby|API Development|HTML/CSS Ruby Developer"
Beauty & Wellness,"Education: Beauty School Experience: 4 years Skills: Communication, Creativity, GCP, Decision Making, Technical Skills, Jenkins, Flask, Makeup Application Beauty School Communication|Creativity|GCP|Decision Making|Technical Skills|Jenkins|Flask|Makeup Application|Customer Service|Color Theory Makeup Artist"
